country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,,,,,,7195.13623046875,7484.07080078125,7785.14697265625,8094.22265625,8422.099609375,8762.2919921875,9096.4677734375,9488.2451171875,9868.458984375,10175.361328125,10770.9072265625,11102.15625,11156.263671875,11628.6513671875,11865.427734375,11930.5615234375,12618.2802734375,12892.5,12613.236328125,13527.1962890625,13103.791015625,10943.8486328125,8529.6435546875,10397.220703125,12423.66796875,13408.3056640625,15897.171875,12886.21484375,12879.900390625,14811.45703125,15202.2451171875,15719.4638671875,15852.837890625,16888.775390625,18079.658203125,18830.01953125,20351.994140625,21933.82421875,24247.3125,26035.853515625,26054.1796875,26542.072265625,28811.39453125,29124.04296875,30816.716796875
Algeria,,,,,,,,,,,57859.01171875,52598.0859375,41043.7578125,49706.1796875,52888.8984375,57639.12109375,50519.2890625,58503.16796875,63260.296875,68866.984375,78035.453125,76008.90625,86169.734375,94097.140625,133679.859375,128089.21875,138225.078125,151840.703125,165145.125,192594.4375,211956.03125,228413.015625,229777.5625,242289.9375,253347.0,266987.8125,229623.421875,215083.984375,196064.8125,201931.875,212510.765625,217913.921875,211870.8125,198044.65625,194623.453125,201560.71875,223520.9375,223795.171875,220101.734375,235706.59375,292367.5,281612.875,286228.40625,314303.5,331089.96875,386029.65625,426433.875,424083.78125,451792.21875,390729.40625,448639.40625,493480.90625,507762.125,500795.5,498826.78125
Angola,,,,,,,,,,,,,,,,,,,,,29908.927734375,31722.326171875,31588.732421875,34156.40234375,35161.2578125,33603.02734375,31978.712890625,32063.1015625,30359.810546875,30061.013671875,32147.099609375,31164.166015625,29848.763671875,31592.69140625,31527.314453125,34161.95703125,28807.830078125,31936.294921875,30677.279296875,32809.83203125,34150.984375,27015.671875,30068.55078125,27618.68359375,29808.396484375,29791.787109375,42065.9296875,37445.6796875,43470.89453125,40999.21484375,34137.14453125,39445.81640625,45282.0390625,44586.25390625,52946.28515625,66190.6796875,83340.453125,90639.8125,107048.5234375,95941.09375,130078.890625,165170.8125,172309.78125,183896.40625,193041.453125
Anguilla,,,,,,,,,,,,,,,,,,,,,57.17253494262695,55.748374938964844,62.20414733886719,64.82572937011719,64.68508911132812,66.83895111083984,67.92566680908203,68.21097564697266,73.27482604980469,79.86945343017578,83.42306518554688,87.44667053222656,87.34886932373047,86.28843688964844,87.85223388671875,98.86286926269531,120.76152038574219,133.9896240234375,137.67819213867188,154.69703674316406,189.676025390625,150.204833984375,188.01686096191406,193.97962951660156,211.1718292236328,202.1510772705078,206.90347290039062,226.42745971679688,261.73870849609375,274.5614013671875,275.2590637207031,273.9726257324219,252.270751953125,268.9521789550781,316.48883056640625,362.4178466796875,429.7974548339844,515.7796630859375,516.9513549804688,395.1797790527344,373.6387023925781,382.2035827636719,362.9704895019531,363.3634948730469,394.61932373046875
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,294.3627624511719,316.1434631347656,339.4139709472656,366.8852844238281,383.8296203613281,360.8885192871094,326.90924072265625,350.5984802246094,353.9021301269531,439.01263427734375,423.1837158203125,439.09112548828125,550.3592529296875,567.542724609375,491.6912841796875,530.3838500976562,622.534912109375,657.9710083007812,730.617431640625,762.4752197265625,795.0581665039062,811.863037109375,832.9274291992188,894.0090942382812,947.4041137695312,904.4978637695312,950.09326171875,1011.6744384765625,1085.6427001953125,1141.3162841796875,1182.556884765625,1182.200439453125,1246.57373046875,1290.493896484375,1356.842529296875,1444.828125,1635.7421875,1808.3896484375,1935.292724609375,1850.91162109375,1720.72216796875,1742.480712890625,1800.6934814453125,1828.721923828125,1909.0457763671875
Argentina,49589.25390625,51958.55078125,47026.296875,48872.8125,51117.45703125,55854.66796875,57230.0859375,59882.8515625,64495.203125,61158.3125,66006.765625,69125.4140625,65920.7421875,65368.4765625,69836.625,80459.2109375,80040.8515625,83599.046875,86008.7578125,93609.9609375,95479.3828125,99901.8125,102289.15625,108064.6796875,113038.7265625,111643.65625,110320.2734375,114844.109375,111297.921875,121546.7109375,128656.6953125,127595.09375,127661.9921875,139502.765625,148994.609375,142946.046875,162835.359375,175065.09375,183604.21875,180500.640625,194594.703125,233984.21875,281707.59375,325385.65625,379470.1875,419159.125,537693.3125,560207.25,564924.8125,530878.625,525824.8125,491117.40625,453929.6875,479253.25,517308.9375,556650.375,606310.625,660317.9375,693144.8125,692631.9375,762683.625,842470.6875,853745.875,875387.3125,869134.75
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20639.197265625,18577.361328125,10650.68359375,9477.6357421875,8212.033203125,8609.2138671875,9076.71484375,8469.66796875,8544.8740234375,8559.4560546875,8886.4501953125,9665.5185546875,10821.3828125,12198.1044921875,13410.9384765625,15115.8642578125,17321.05859375,20042.693359375,21336.408203125,19388.19921875,21075.640625,23376.140625,24321.0390625,25079.193359375,25810.712890625
Aruba,,,,,,,,,,,,,,,,,,,,,349.1200256347656,380.5836181640625,415.1616516113281,452.8233642578125,492.4560852050781,536.0496215820312,585.4514770507812,639.2892456054688,697.65869140625,761.6351318359375,830.0968017578125,905.8032836914062,985.868896484375,1076.7349853515625,1179.8662109375,1279.0472412109375,1400.9251708984375,1645.4222412109375,1888.84326171875,2193.6767578125,2366.299072265625,2169.190673828125,2911.778564453125,3235.939453125,3716.813720703125,3477.3984375,3794.763916015625,4043.604736328125,4083.42041015625,3772.472412109375,4001.630126953125,3937.143310546875,3883.4765625,3927.814453125,4201.384765625,4267.3388671875,4304.88623046875,4526.98876953125,4566.43408203125,4418.06591796875,3969.029052734375,3811.6533203125,3744.970947265625,3866.956787109375,3924.26025390625
Australia,112163.765625,104671.328125,102275.9453125,113448.765625,120958.6875,125353.328125,128070.0625,127992.03125,136729.1875,146686.734375,148490.90625,152266.34375,161208.4375,174909.515625,182769.328125,185704.8125,198058.0625,206108.390625,222758.484375,239781.453125,247286.109375,254754.09375,267241.125,281354.3125,272786.15625,273733.375,285256.84375,287133.84375,302034.5,312480.34375,322915.1875,338980.34375,330555.71875,349810.71875,362891.0,374816.03125,382461.75,412996.0625,443629.8125,462313.1875,457648.375,459064.5625,477642.25,498137.84375,525318.4375,552598.4375,578234.9375,605540.0,632157.0625,664371.875,675432.0625,700850.0,722950.5,755897.1875,782117.5625,809225.4375,845524.8125,881446.875,902289.8125,906016.4375,956437.5,985459.75,988637.5625,1006175.5625,1017429.375
Austria,37245.96484375,38629.546875,40452.1484375,42370.93359375,45237.98828125,49787.0078125,53789.71875,56584.0625,59222.5859375,61525.6796875,66254.421875,70117.515625,72212.8515625,75497.296875,79308.4453125,82033.4609375,86199.984375,88951.109375,93062.7734375,97642.765625,103551.796875,108803.9375,115845.1015625,122578.375,125235.5546875,125992.484375,129840.90625,135247.359375,135275.65625,140680.140625,141431.765625,140008.0,141127.453125,144316.71875,144186.25,147029.84375,154416.125,161100.859375,170921.96875,181977.34375,194519.46875,206575.78125,215371.171875,220721.921875,232860.0625,246072.796875,251628.109375,263043.03125,277555.6875,286629.90625,297685.65625,292992.78125,299323.78125,300417.78125,310371.625,311519.09375,328190.0625,343158.25,353266.9375,349695.5625,356454.5625,373419.5625,392421.3125,402644.21875,406635.5625
