Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,7752.118,7839.51,7934.98,8038.596,8150.446999999999,8270.581,8399.03,8535.806999999999,8680.946,8834.445,8996.351,9166.764000000001,9345.868,9533.954,9731.360999999999,9938.414,10152.331,10372.63,10604.346000000001,10854.428,11126.123,11417.825,11721.94,12027.822,12321.541000000001,12590.286,12840.298999999999,13067.538,13237.733999999999,13306.695,13248.37,13053.954,12749.645,12389.268999999998,12047.115,11783.05,11601.041000000001,11502.761,11540.888,11777.608999999999,12249.114,12993.657,13981.231000000002,15095.098999999998,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851000000002,24118.979,25070.798,25893.45,26616.792,27294.031000000003,28004.331000000002,28803.167,29708.599,30696.958,31731.688,32758.02,33736.494
Albania,1263.174,1287.497,1316.089,1348.099,1382.878,1419.97,1459.089,1500.149,1543.2220000000002,1588.484,1636.056,1685.9,1737.644,1790.5339999999999,1843.5929999999998,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.0029999999997,2358.4629999999997,2411.229,2464.3360000000002,2517.8720000000003,2571.85,2626.2859999999996,2681.239,2735.329,2788.3140000000003,2842.6240000000003,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.4309999999996,3240.587,3189.583,3140.595,3106.736,3092.228,3093.0409999999997,3103.759,3115.5759999999996,3121.97,3122.408,3119.0290000000005,3111.005,3097.7470000000003,3079.179,3054.3309999999997,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.3520000000003
Algeria,8872.247,9039.91,9216.396999999999,9405.443000000001,9609.505,9829.719000000001,10065.822,10316.288,10578.448999999999,10848.973,11124.888,11404.858999999999,11690.153,11985.136,12295.97,12626.952,12980.267,13354.197,13744.386999999999,14144.438,14550.034,14960.108999999999,15377.093,15804.428,16247.113000000001,16709.099,17190.238999999998,17690.183999999997,18212.326,18760.761000000002,19337.715,19943.664,20575.701,21228.289,21893.853,22565.905,23241.272,23917.897,24591.492000000002,25257.672000000002,25912.367000000002,26554.328999999998,27181.093999999997,27786.259,28362.252999999997,28904.298,29411.415,29886.839,30335.732000000004,30765.612999999998,31183.66,31592.153,31995.046000000002,32403.514,32831.096,33288.437000000005,33777.915,34300.076,34860.715,35465.76,36117.637,36819.558,37565.847,38338.562000000005,39113.312999999995,39871.528
American Samoa,18.94,19.296,19.54,19.677,19.729,19.702,19.652,19.598,19.602,19.734,20.012999999999998,20.486,21.116999999999997,21.881999999999998,22.698,23.52,24.320999999999998,25.116,25.885,26.614,27.291999999999998,27.916,28.491999999999997,29.014,29.488000000000003,29.932,30.320999999999998,30.689,31.101999999999997,31.673000000000002,32.457,33.493,34.738,36.16,37.688,39.241,40.836999999999996,42.45,44.047,45.593,47.038000000000004,48.375,49.593,50.72,51.803000000000004,52.868,53.928999999999995,54.941,55.901,56.77,57.521,58.175,58.731,59.117,59.263999999999996,59.118,58.65,57.903,57.03,56.227,55.637,55.32,55.23,55.306999999999995,55.437,55.537
Andorra,6.196000000000001,6.689,7.247000000000001,7.865,8.525,9.232000000000001,9.988999999999999,10.779000000000002,11.615,12.498,13.411,14.375,15.37,16.412,17.469,18.549,19.647000000000002,20.758000000000003,21.89,23.058000000000003,24.276,25.559,26.892,28.232,29.52,30.705,31.776999999999997,32.771,33.736999999999995,34.818000000000005,36.067,37.5,39.114000000000004,40.867,42.706,44.6,46.516999999999996,48.455,50.434,52.448,54.50899999999999,56.67100000000001,58.888000000000005,60.971000000000004,62.677,63.85,64.36,64.327,64.142,64.37,65.39,67.34100000000001,70.04899999999999,73.182,76.244,78.867,80.991,82.68299999999999,83.861,84.462,84.449,83.751,82.431,80.788,79.223,78.014
Angola,4548.023,4659.333,4774.561,4890.469,5004.763,5116.071,5224.003,5329.099,5432.717,5536.779,5643.182,5753.024,5866.061,5980.4169999999995,6093.321,6203.299,6309.77,6414.995,6523.791,6642.632,6776.380999999999,6927.269,7094.834,7277.96,7474.338000000001,7682.479,7900.996999999999,8130.988,8376.146999999999,8641.521,8929.9,9244.507,9582.155999999999,9931.562,10277.321,10609.042,10921.037,11218.268,11513.968,11827.237,12171.441,12553.446000000002,12968.345,13403.733999999999,13841.301000000001,14268.993999999999,14682.284,15088.981000000002,15504.318000000001,15949.766000000001,16440.924,16983.266,17572.648999999998,18203.369,18865.716,19552.542,20262.398999999998,20997.687,21759.42,22549.547000000002,23369.131,24218.565,25096.15,25998.34,26920.466,27859.305
Anguilla,5.118,5.296,5.446000000000001,5.5520000000000005,5.64,5.7,5.736000000000001,5.779,5.807,5.832000000000001,5.864,5.899,5.946000000000001,5.995,6.06,6.12,6.167000000000001,6.232,6.2829999999999995,6.346,6.403,6.4510000000000005,6.501,6.556,6.596,6.629,6.66,6.687,6.709,6.712999999999999,6.702000000000001,6.65,6.587999999999999,6.539,6.5520000000000005,6.662000000000001,6.875,7.195,7.574,7.965,8.334,8.666,8.981,9.266,9.537,9.802,10.058,10.302999999999999,10.548,10.793,11.07,11.372,11.692,12.020999999999999,12.339,12.638,12.902999999999999,13.15,13.36,13.565,13.769,13.950999999999999,14.129000000000001,14.299000000000001,14.459000000000001,14.610999999999999
Antigua and Barbuda,46.303000000000004,48.365,49.998999999999995,51.262,52.208,52.897,53.42,53.838,54.24100000000001,54.722,55.339,56.144,57.144,58.294,59.523999999999994,60.781000000000006,62.059,63.36,64.655,65.91,67.098,68.188,69.176,70.066,70.878,71.609,72.285,72.875,73.324,73.528,73.442,73.066,72.44800000000001,71.639,70.725,69.782,68.809,67.845,67.058,66.627,66.696,67.307,68.42699999999999,69.938,71.719,73.619,75.628,77.73899999999999,79.851,81.831,83.584,85.057,86.266,87.29299999999999,88.257,89.25299999999999,90.301,91.381,92.478,93.581,94.661,95.719,96.777,97.824,98.875,99.92299999999999
Argentina,17150.336,17507.13,17866.096,18224.15,18579.037,18929.346,19274.528000000002,19614.846999999998,19951.323,20285.531000000003,20619.075,20953.077,21287.682,21621.84,21953.929,22283.39,22608.748,22932.202999999998,23261.278,23605.987,23973.057999999997,24366.439,24782.949,25213.388,25644.506,26066.975,26477.152000000002,26878.565,27277.741,27684.534,28105.888,28543.363999999998,28993.987,29454.737999999998,29920.904,30388.783,30857.244,31326.472999999998,31795.517000000003,32263.561,32729.738999999998,33193.918,33655.151,34110.917,34558.115,34994.814,35419.682,35833.969,36241.59,36648.068,37057.452000000005,37471.509,37889.37,38309.379,38728.696,39145.488,39558.89,39970.224,40382.388999999996,40799.407,41223.888999999996,41656.879,42096.739,42539.925,42981.515,43417.765
Armenia,1353.51,1381.872,1418.276,1461.424,1510.171,1563.505,1620.5929999999998,1680.714,1743.3029999999999,1807.9170000000001,1874.12,1941.491,2009.526,2077.575,2144.998,2211.3160000000003,2276.031,2339.124,2401.14,2462.925,2525.065,2587.706,2650.4840000000004,2712.781,2773.7470000000003,2832.757,2889.579,2944.3790000000004,2997.4109999999996,3049.105,3099.7509999999997,3148.092,3193.6859999999997,3238.594,3285.595,3335.935,3392.256,3451.942,3504.651,3536.469,3538.165,3505.2509999999997,3442.81,3363.098,3283.66,3217.342,3168.215,3133.086,3108.684,3089.0170000000003,3069.5879999999997,3050.655,3033.897,3017.8059999999996,3000.612,2981.259,2958.5,2933.0559999999996,2908.22,2888.5840000000003,2877.3109999999997,2875.5809999999997,2881.922,2893.509,2906.22,2916.95
