"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24271.9404205267","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364.570572951991","376.758714204473","364.095436021804","389.416357791097","397.985904741902","440.368155343632","444.950137932355","524.823533211573","553.300289383064","569.233387721432","630.427412567377","621.818078528877","610.241924288331","599.135195772503","596.257638538373","",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","2574.05124282689","2570.52950597457","2700.11403053257","2778.09323227535","2715.32768725268","2630.62357296297","2519.96606028","2271.02950042539","1654.53708916369","1658.31009384044","1775.89946124641","1919.2117663338","2015.01392153344","2094.47852756743","2101.94533402433","2100.57238329504","2119.32593151743","1906.08657987112","1936.59966053262","2071.90526529851","2364.194266479","2754.41363654165","3258.47527880092","3578.8728059932","3536.79829568814","3529.05348173757","3538.71568511348","3591.02743812173","3702.59918011167","3747.56835973634","3730.16906279479","3606.64449191561","",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2036.70378240482","2111.01594536745","2127.81625617569","2106.18057425808","2036.5187106755","2030.60068204501","2103.99990217103","2046.15050103461","1979.39438395841","2116.44007563931","1879.65476427684","1331.48594222483","1243.13494374291","1370.81467508469","1493.73394623889","1702.8869351707","1869.43235035998","1677.2834685123","1839.93041779504","2101.61115286405","2256.05096189409","2458.14998597263","2569.8582949056","2728.41810120831","2896.27787194169","3077.67973683858","3265.36562197466","3484.25411086376","3775.47844386383","3928.34082756573","4094.35883191918","4210.07559481109","4276.91621037966","4332.32001690207","4419.44263430337","4547.12843860153","4711.98660680542","",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","42137.5981488529","41883.2198886212","43051.3040455361","44201.8111087438","44648.4660923387","43158.0886765118","43079.8967286233","42958.9745538539","42339.4136047833","41041.9438725145","40495.7740858771","38896.6990078552","37756.4918271536","36776.5840408647","35820.9990339569","35096.0584670317","34744.4577175832","35205.0555895382","35546.716320433","35831.6881333458","35780.5868852724","35291.7777037539","34278.7114917044","32766.1212208376","32633.886429177","32917.7106562105","34175.3242656523","37293.3524676456","38595.7957106487","40035.5576545836","39870.5033647003","41064.1541760868","42013.7736801167","45050.5525377669","46730.6565549126","48718.1651711328","49615.8200603728","48638.4243930842","43833.8053469624","41860.240309586","39627.6635163399","38038.8800256098","37967.8025665574","38715.3551359194","","","","",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4087.62124064202","4591.34258259846","4822.55862602937","4628.34803331204","4997.72124520906","5280.38034689649","5252.28106373067","4632.68227913463","4196.98379459159","4115.01731471971","3907.24267918483","3963.05181277891","3825.83611092909","3926.57062520863","3899.9341061986","4256.38701451197","4207.3963435011","4330.23096673256","4353.10344380441","4381.16513752993","4367.83045086684","4461.73982353149","4548.61762984759","4681.21204355006","4667.62911428242","4816.65662720532","4792.76438454224","4720.19425453169","4865.94325968022","5204.44090605938","5378.37916869911","5594.8985191377","5711.66324664937","5898.51615170915","5782.42247045278","5916.32962351113","5986.72879149802","6153.87633667627","6238.02081055711","6282.34948870232","6366.423080616","6440.03649478769","",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","102479.189047038","102319.727510556","107452.180372559","92822.3616132218","100480.436773847","113682.03823948","110644.551555293","97254.0615122917","87942.9026834342","86936.8490903108","79439.2866216746","63832.1312558628","62248.9287571022","57136.0525973972","60523.2281357935","67606.9169169634","64386.0911141135","62821.1576884704","60133.1929559932","60932.2776388942","61818.2337806713","62294.1289653605","64176.4841632677","61231.2297222283","59845.037041274","62833.2510686303","60434.6739793095","58707.0071649096","59867.2899389479","60042.597356397","56199.0292690569","53926.5970989762","48260.0109066643","43658.9447775973","37203.3979926415","35049.1483167837","35550.8312718618","36408.4975467384","38064.00442298","39034.3762753299","40159.5578742307","40864.2498465529","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5605.19172213837","5815.2335573695","5675.06004288477","5290.76622217599","5738.59769021983","6251.32182035585","6120.71218384643","6226.99775509462","6434.95377674533","6954.7641154732","7056.8480638535","7335.75913605167","7329.92115775342","7407.36675350676","7685.85721205637","7559.14374920499","7291.84042863613","7681.01757078943","7227.56412439979","7849.36333967784","8052.68965458607","7478.13043222079","6996.96291844645","7154.41125458419","7198.71994194112","6550.15032295869","6958.75247038685","7053.98564085254","6772.22301661005","6173.68498096309","5939.75691560173","6598.72263482743","7285.42942771472","7612.68115329614","7952.71155173317","7630.02227409899","7955.12765176278","8500.94036184635","8728.94765116614","8339.89438868086","8182.68650230868","7735.49336439011","6816.73485537778","7337.79203783303","7913.74312362482","8522.52273238782","9112.11316338653","9830.68091982204","10125.1262721185","9428.50254117176","10276.2604977053","10780.0156577357","10557.8853892544","10699.1977159711","10323.20693976","10490.0195683235","10148.5101468259","",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1796.93643164735","1601.59382258648","949.033221222563","886.032785886859","956.470885584858","1043.54314092724","1121.88162863241","1172.13680235161","1267.5752827037","1317.74192344716","1404.32146207448","1548.07585116108","1761.88827200001","2019.98486734451","2244.22017077501","2571.98575552046","2933.83347842552","3366.16218732912","3629.15770214106","3136.81172720558","3218.38165488465","3371.6728305502","3606.48055353557","3710.5757426146","3827.34319548141","3927.66224360024","3924.93338727309","",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10613.9115418862","10630.4536535068","10661.173537835","10644.5810685804","10282.4565949728","10619.6136467331","10500.3858391248","10199.0601502139","10352.8227618312","10442.7264995652","10000.3110739949","9665.23344385512","9779.88348722076","9868.88210970834","","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","4426.92080159489","4592.68363637986","4949.98892029056","5360.24853113154","5593.37387488078","5636.34777479964","6005.74595504619","6701.73358666787","7311.48654890328","8267.12832485336","8940.18911533102","9516.65813732879","10081.2947110431","10374.1639448304","10503.7716029349","10451.5243938645","10765.6461441244","11199.1897087684","10434.5272637203","10828.2159878164","11110.5148115443","11328.4195368888","11464.1970680634","11906.684247911","11092.5099344922","11056.0151766257","11593.5753909712","12133.3363460388","12752.2812820847","14218.2565223361","15355.4268216395","15180.5105084166","13196.0602753709","12126.8761392994","11781.3690776406","12099.734924513","11946.2812950932","12363.3151344107","12738.5300356213","13158.9684451245","",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19306.5529749374","19394.6161728232","19178.0910100303","19982.6905301495","20961.1859037462","21783.2486768645","21794.9925819135","22876.9934362002","23621.3794608676","24763.0828899532","26020.207944899","26162.3944449506","26690.6600382601","26968.9599418453","27372.1239058573","27397.5568726721","27827.0012360494","28507.9019111667","28431.4148379114","29266.6006557147","29794.5384628033","30309.7609697282","30797.9963904252","29736.6986278124","30763.4458550314","31938.6162017929","32707.6721962772","33044.5754166398","34386.2533573522","35121.2126875046","35827.0967196418","35240.582540066","34967.5177240199","36033.6358843432","37098.7987775714","38078.9039470847","39065.9243827866","40156.3352495743","41504.4958976453","43087.4467189905","44223.5912367361","44473.4086078835","45626.6220312732","46449.8451866154","47817.8992322005","48702.734693348","49418.6863195942","50952.4670378891","51788.440148049","51651.2232575577","51874.0804819957","52372.1545375312","53348.3889688657","53798.3585062317","54394.3342655081","54941.9114575236","55670.924142592","",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13087.1641850102","13736.3813875678","14014.0581706302","14500.5514575716","15286.3850649624","15715.9344397462","16486.7191445911","16856.1881294752","17518.8456479755","18554.1211179009","19514.8691915515","20421.7140161539","21563.7741558085","22493.3681648033","23340.3273870508","23317.2133823933","24427.8984903526","25658.978553453","25625.6654209254","27044.4170376489","27512.6580070313","27402.9869666688","27934.0900593375","28811.1165897503","28827.7041819083","29534.146003366","30194.6482053034","30585.0786582966","31548.4312147901","32627.4196558544","33786.8506127377","34602.4604794226","34940.2124459277","34835.8271344289","35535.5958617029","36427.8636986522","37251.1878988249","38029.46578209","39340.1112292027","40673.2043008874","41942.2651303522","42346.2901651331","42836.2182132566","42950.3907492184","43839.6853455116","44474.1317406135","45737.5158735147","47240.5277954285","47821.5276437765","45884.3987075025","46657.0629004957","47805.7771805138","47943.2015811988","47723.1895822009","47681.1674601633","47629.617551973","47703.9148934634","",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.54658676172","3049.01599483444","2324.4529766324","1760.55465085842","1394.74420894615","1216.07791710291","1219.50934895182","1277.85412406008","1392.36119355104","1482.32977280697","1633.3944354131","1781.24639507096","1955.41315045621","2158.00717069154","2357.39602637373","2949.44281843844","3923.65815354896","4851.17690871859","5262.10135550006","5639.001689405","5842.80578358576","5770.96970270605","5820.0798474712","6078.32064851423","6122.98048925179","6117.03086236702","5858.83286635795","",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","214.136954470044","181.217677492176","193.953239849349","198.122221553641","206.289435971814","209.803506248281","214.271136487222","237.75560255054","231.170921449921","222.724813129144","265.229179977529","268.644207587246","248.697790543501","263.272084401766","258.462588473879","256.515815155787","271.842957220528","296.556107016593","286.818182523121","284.361189879462","279.958965460882","306.101523535186","295.174780278171","298.204169945346","290.660218774574","315.872850697748","316.742305242519","324.379639217989","330.866922120253","326.182283933915","329.157780967159","337.708351238027","333.94321893393","307.123481022235","290.319817820472","263.270850380452","239.039632650715","232.506872313885","240.62759815185","234.684850023308","228.247568715153","227.428111030652","230.996154204304","221.22748245559","224.515553169343","219.186550201302","223.40359025878","226.304441502933","229.834701437855","230.053170925045","231.194325649216","233.518126039129","235.705287861241","239.331065435125","243.101911790451","226.566308599515","218.283528373813","",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13170.5626499297","13780.3935666302","14441.0303908846","14957.2038719892","15847.0287741403","16262.9252747496","16663.2310742182","17211.7139460522","17863.184954768","18993.6179670152","20105.2200650506","20868.5124855897","21887.7489855269","23211.4081570667","24194.8238990705","23650.7235311515","24943.0321601648","25068.2408623577","25756.6122231822","26335.9112869088","27475.9951212353","27399.9817315971","27570.4998249007","27658.6736842235","28341.2680104027","28800.827035698","29315.3451555292","29965.9927798939","31281.7381016545","32249.5947541801","33162.3447516647","33644.9801502856","34021.6578090367","33563.0460352863","34539.5020172289","35289.1992509297","35781.5746820223","37019.4490241895","37670.250196573","38923.1665102004","40239.8653051688","40427.1806289943","40962.8509059778","41107.653030404","42417.8471303389","43068.7278314487","43854.8690787415","45013.0737838389","44992.6105422329","43612.1599094618","44380.2374107585","44555.3657083469","44293.673248396","44050.0426751877","44670.3700700927","45067.8291723795","45308.2396090111","",
