"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063.63557365313","1099.19450675044","1062.24936045108","1136.12321410151","1161.12488912197","1284.77521302624","1298.14315888036","1531.17399271735","1614.25500126115","1660.73985617959","1839.27357927778","1814.1558253278","1780.38236589403","1747.97845720582","1739.58317665792","",
"Angola","AGO","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4394.33014126642","4209.48208913989","3793.64554016524","2763.82462146268","2770.12724428741","2966.55462629496","3205.95093838327","3365.9838304013","3498.72563240139","3511.19857342183","3508.90512526976","3540.23202549842","3184.02594574066","3234.99657925578","3461.01808359261","3949.27280047762","4601.1154879667","5443.12621515764","5978.3348726785","5908.0514270678","5895.11408790181","5911.25433387322","5998.63860099119","6185.01382919907","6260.13268066975","6231.06799206401","6024.7261381476","",
"Albania","ALB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4557.38923756269","3228.30544118354","3014.09063043112","3323.6614327565","3621.69007827894","4128.80000020583","4532.60409081554","4066.72213058268","4461.07404577001","5095.5421344564","5469.99511215283","5960.00207234683","6230.84874831785","6615.29102382901","7022.28188571442","7462.1067527415","7917.16778268052","8447.88228539046","9153.98144048796","9524.60981094793","9927.13514733496","10207.7006744902","10369.7616592059","10504.0930887663","10715.3295809344","11024.9151076797","11424.6283187309","",
"Andorra","AND","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10480.7322445242","10236.2639856153","10553.1259335709","10596.4013160745","10640.4437915511","10601.9034077294","10837.0843359427","11049.4137622266","11421.1232267943","11443.2125757695","11783.5814950611","11748.0806238148","11570.2880366868","11825.0016643738","12630.3746752567","13039.3311576843","13525.3241214241","13804.8104112111","14263.4066696244","14048.7875281433","14379.0034797784","14463.5128268794","14852.6260325419","15037.5695746788","15140.192880374","15328.9780412164","15533.6947664989","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111066.753951713","105775.48076134","103204.559268941","98788.6868821017","100101.448148399","101556.92455966","102338.74002759","105431.131918089","100592.575964859","98315.2953485231","103224.42665145","99283.9693201237","96445.7043357705","98351.8531036074","98639.8536024861","92325.5199437336","88592.2974242641","79283.0527039246","71724.2776114248","61118.9037963595","57579.8351683236","58404.0155906001","59813.016525244","62532.7349101947","64126.8920864343","65975.3755478174","67133.0655220221","",
"Argentina","ARG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10815.7151226019","12015.6271048557","13266.0528630404","13861.946177794","14481.1082032399","13893.5226589826","14485.5076845653","15479.3791285386","15894.5580528952","15186.130197286","14899.8700458711","14085.5751760246","12412.6059887095","13361.4000434323","14410.1505153775","15518.6785097698","16592.264892395","17900.7063421587","18436.8624668727","17168.3789365496","18712.0630773436","19629.3518451916","19224.8743997107","19482.190295091","18797.5479465897","19101.2973920688","18479.4422106049","",
"Armenia","ARM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3742.43737065732","3335.60189926509","1976.5292363974","1845.31970699192","1992.01948556239","2173.36283004676","2336.51656146721","2441.18183336176","2639.9493184981","2744.43020484005","2924.74737977546","3224.14127509569","3669.44339038795","4206.97511752376","4673.98472598815","5356.61442371328","6110.22619140708","7010.62705596386","7558.36164780203","6532.96423059787","6702.84800627941","7022.10394338388","7511.13248214738","7727.92909156213","7971.11792762162","8180.05005680357","8174.36673171871","",
"American Samoa","ASM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
