 country_ name,iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,ALB,,,,,,,,,,,,,,,,,,,,,2.150602,2.20204,2.253842,2.305999,2.358467,2.411229,2.464338,2.517869,2.571845,2.62629,2.681245,2.735329,2.788315,2.84262,2.90159,2.966799,3.041003,3.121336,3.197064,3.253659,3.281453,3.275438,3.240613,3.189623,3.140634,3.106727,3.092034,3.092471,3.102898,3.114851,3.121965,3.124093,3.123112,3.117045,3.103758,3.082172,3.050741,3.010849,2.968026,2.929886,2.901883,2.88601,2.880667,2.883281,2.889676
Algeria,DZA,,,,,,,,,,,11.39336405,11.61513738,11.48908476,11.77308064,12.12814645,12.49392015,12.88665534,13.32671105,13.72959638,14.12858539,14.550033,14.960111,15.377095,15.804428,16.247113,16.709098,17.190236,17.690184,18.212331,18.760761,19.337723,19.943667,20.575701,21.228288,21.893857,22.565908,23.241276,23.917889,24.591493,25.257671,25.912364,26.554277,27.180921,27.785977,28.362015,28.9043,29.411839,29.887717,30.33688,30.766551,31.183658,31.59032,31.990387,32.394886,32.817225,33.267887,33.749328,34.261971,34.811059,35.40179,36.036159,36.717132,37.439427,38.186135,38.934334
Angola,AGO,,,,,,,,,,,,,,,,,,,,,6.300969,6.437645,6.587647,6.750215,6.923749,7.107334,7.299508,7.50132,7.717139,7.952882,8.21195,8.49795,8.807511,9.128655,9.444918,9.745209,10.0237,10.285712,10.544904,10.820992,11.12787,11.472173,11.848971,12.246786,12.648483,13.042666,13.424813,13.801868,14.18771,14.601983,15.058638,15.562791,16.109696,16.691395,17.2955,17.912942,18.541467,19.183907,19.842251,20.520103,21.219954,21.942296,22.685632,23.448202,24.227524
Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,0.0064,0.006454,0.006506,0.006554,0.006596,0.00663,0.006661,0.006691,0.006712,0.006715,0.006698,0.006652,0.006587,0.006537,0.006551,0.006662,0.006883,0.007198,0.007576,0.007966,0.008334,0.008668,0.008979,0.009266,0.00954,0.009807,0.010063,0.010305,0.010545,0.010797,0.011071,0.011371,0.011693,0.012023,0.012342,0.012637,0.012903,0.013145,0.013365,0.013571,0.013768,0.013956,0.014133,0.0143,0.01446
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,0.065369,0.066338,0.067205,0.067972,0.068655,0.069253,0.069782,0.070223,0.070508,0.070553,0.070301,0.06975,0.06895,0.067958,0.066863,0.065744,0.064605,0.063484,0.062538,0.061967,0.061906,0.062412,0.063434,0.064868,0.06655,0.068349,0.070245,0.072232,0.074206,0.076041,0.077648,0.078972,0.08003,0.080904,0.081718,0.082565,0.083467,0.084397,0.08535,0.0863,0.087233,0.088152,0.089069,0.089985,0.0909
Argentina,ARG,17.15802882,17.52519975,17.8849764,18.23899409,18.58889387,18.93631107,19.28015612,19.61933561,19.95548678,20.29024878,20.62525694,20.95998077,21.29333069,21.62610053,21.9590898,22.29309615,22.62174808,22.94451319,23.27094779,23.61061196,23.973062,24.366442,24.78295,25.213388,25.644505,26.066975,26.477153,26.878567,27.277742,27.68453,28.105889,28.543366,28.993989,29.454739,29.920907,30.388781,30.857242,31.326473,31.795515,32.263559,32.72974,33.19392,33.655149,34.110912,34.558114,34.994818,35.419683,35.833965,36.241578,36.648054,37.057453,37.471535,37.889443,38.309475,38.728778,39.145491,39.55875,39.969903,40.38186,40.798641,41.222875,41.655616,42.095224,42.538304,42.980026
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.544695,3.511912,3.449497,3.369673,3.289943,3.223173,3.173425,3.137652,3.112958,3.09382,3.076098,3.060036,3.047249,3.03642,3.025982,3.014917,3.002161,2.988117,2.975029,2.966108,2.963496,2.967984,2.978339,2.992192,3.006154
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,0.059065,0.059438,0.059849,0.060239,0.060525,0.060655,0.060589,0.060366,0.060106,0.059978,0.060096,0.060567,0.061344,0.062204,0.062831,0.063028,0.062644,0.061835,0.061077,0.061032,0.062148,0.064623,0.068235,0.072498,0.0767,0.080326,0.083195,0.085447,0.087276,0.089004,0.090858,0.092894,0.094995,0.097015,0.098742,0.100031,0.10083,0.101218,0.101342,0.101416,0.101597,0.101936,0.102393,0.102921,0.103441
Australia,AUS,8.427065478,8.675028677,8.859129784,9.02906351,9.23913815,9.456324671,9.684161518,9.900220403,10.10683437,10.32747865,10.56145722,10.80358782,11.00353124,11.21403652,11.43504631,11.66039847,11.8802641,12.10164134,12.33546924,12.61855926,12.90476,13.150591,13.364238,13.55219,13.7254,13.892674,14.054956,14.211657,14.368543,14.532401,14.708323,14.898019,15.101227,15.318254,15.548591,15.791043,16.047026,16.314778,16.585905,16.849253,17.096869,17.325818,17.538387,17.738428,17.932214,18.12477,18.31834,18.512971,18.709175,18.906936,19.107251,19.308681,19.514385,19.735255,19.985475,20.274282,20.606228,20.975949,21.370348,21.77069,22.162863,22.542371,22.911375,23.270465,23.622353
Austria,AUT,6.974720956,6.975073913,6.967351057,6.972089123,6.979858976,6.986573315,6.99207868,7.005656501,7.027277525,7.054404394,7.087699861,7.126783633,7.170597799,7.216806894,7.265071389,7.312428075,7.363897479,7.419143429,7.457767781,7.483566265,7.509746,7.543451,7.57366,7.598925,7.617432,7.628138,7.630536,7.625724,7.616309,7.605888,7.597269,7.591618,7.588957,7.589573,7.593397,7.600514,7.610435,7.6237,7.642479,7.669601,7.706571,7.755143,7.813393,7.874675,7.929911,7.972833,8.000453,8.015256,8.023166,8.032953,8.050884,8.078877,8.114698,8.155466,8.196624,8.234858,8.269372,8.30129,8.331465,8.361362,8.391986,8.423559,8.455477,8.486962,8.516916
