,imf,pwt,un,wb
1980,3996821000.0,4067792482.9999995,4458411534.000004,4412687234.0
1981,4069095000.0,4143257370.9999995,4537845777.0,4490389883.0
1982,4144355000.0000014,4220377104.0,4618776168.000001,4571076858.0
1983,4218710999.9999986,4299388723.0,4701530842.999999,4652462765.0
1984,4292474000.0,4380569063.0,4786483861.999999,4733621360.0
1985,4368624000.0,4464010935.0,4873781796.000003,4816428709.0
1986,4447161999.999998,4549851998.0,4963633227.999999,4901929843.0
1987,4527179000.000001,4637781818.0,5055636132.000001,4989677185.0
1988,4605501999.999999,4726781921.0,5148556956.000003,5078341787.0
1989,4835870000.0,4826846620.0,5240735117.0,5167144780.0
1990,5015736000.0,5239442279.999999,5330943460.0,5264644548.0
1991,5108294999.999999,5326300724.000001,5418758802.999997,5351624249.0
1992,5259801000.000001,5411361085.0,5504401148.999994,5435434249.0
1993,5345955000.0,5494457088.0,5588094837.000006,5520176501.0
1994,5429938999.999996,5575928110.0,5670319702.999998,5603814414.0
1995,5521547999.999998,5656075811.0,5751474416.0,5688489338.0
1996,5606768000.0,5734866822.0,5831565020.0,5771127347.0
1997,5692230000.000002,5812519911.0,5910566294.999999,5853764158.0
1998,5814615000.0,5888806959.0,5988846102.999996,5935401460.0
1999,5891897999.999997,5963963694.0,6066867391.000002,6016057278.0
2000,5970855000.000002,6039892935.0,6145006989.0,6095890763.0
2001,6069124000.000003,6115883983.0,6223412157.999998,6175296997.0
2002,6145467000.000002,6191986714.0,6302149639.000003,6254361245.882873
2003,6250785999.999997,6268457045.0,6381408986.999998,6333696910.898927
2004,6329186000.000005,6345574766.0,6461370865.000003,6413700161.991372
2005,6406831999.999997,6423692232.0,6542159383.000003,6494291045.243966
2006,6486861999.999999,6502565145.000001,6623847913.000002,6575597802.484986
2007,6569933999.999997,6582438253.0,6706418593.000002,6657505602.990929
2008,6649709000.000003,6663083371.0,6789771253.000003,6740747977.295534
2009,6729132000.000001,6744362187.000001,6873741054.000001,6824136049.110201
2010,6808318000.000009,6826078342.0,6958169158.999998,6907518699.362227
2011,6868647000.000003,6907928139.0,7043008586.000001,6989663635.357816
2012,6953667999.999998,6990183842.0,7128176935.000002,7069577688.077233
2013,7034942999.999997,7072456670.999999,7213426452.000002,7154865116.610083
2014,7116690000.000002,7154701081.0,7298453032.999993,7240848130.739162
