country_name,iso,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703911,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20212720937,20663923801
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745,28072847844,30290602825,31986876577,32114824090,32018479612,31634257860,29451494067,22176975036,22953169160,25340298757,28178412209,30404506777,32473461136,33525536222,34535350910,35993076036,33494990432,35252638226,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,1.01E+11,1.04E+11,1.04E+11
Albania,ALB,,,,,,,,,,,,,,,,,,,,,5442066396,5754747684,5924431990,5989893306,5914924002,6020247739,6359623744,6309519916,6219922231,6831747927,6177564328,4349684961,4036507645,4424012380,4791205407,5428435726,5922423377,5280559676,5756277510,6533442517,6969002335,7522364217,7840663356,8293343315,8766856445,9268392518,9771760096,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12768229393,13098926534,13552149392
Andorra,AND,,,,,,,,,,,1022932333,1070493217,1157735668,1247905531,1318022719,1325169113,1368949878,1407808555,1428404797,1428998402,1460561084,1458626213,1476807421,1502948660,1529771585,1565284208,1616207940,1705860969,1792763091,1879300379,1950364011,2000020334,2018604762,1997783177,2045394100,2101795825,2199523870,2398969484,2475611528,2577088846,2607132215,2765301206,2943022833,3296889536,3562932178,3842255533,4018434883,4021570844,3675946750,3535599617,3346516556,3185794241,3129723933,3127736111,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,56806673989,66195031475,80386802824,79108971553,95661395026,1.19E+11,1.24E+11,1.16E+11,1.10E+11,1.15E+11,1.11E+11,93974812613,97153023592,94608675557,1.06E+11,1.26E+11,1.27E+11,1.31E+11,1.33E+11,1.42E+11,1.51E+11,1.60E+11,1.73E+11,1.74E+11,1.79E+11,1.98E+11,2.01E+11,2.06E+11,2.24E+11,2.45E+11,2.57E+11,2.83E+11,2.92E+11,3.01E+11,2.85E+11,2.90E+11,3.08E+11,3.24E+11,3.43E+11,3.54E+11,3.68E+11,3.79E+11
Argentina,ARG,1.16E+11,1.22E+11,1.21E+11,1.14E+11,1.26E+11,1.39E+11,1.38E+11,1.43E+11,1.50E+11,1.64E+11,1.69E+11,1.79E+11,1.82E+11,1.87E+11,1.97E+11,1.97E+11,1.93E+11,2.06E+11,1.97E+11,2.17E+11,2.26E+11,2.13E+11,2.03E+11,2.11E+11,2.15E+11,1.99E+11,2.15E+11,2.21E+11,2.15E+11,1.99E+11,1.94E+11,2.19E+11,2.45E+11,2.60E+11,2.75E+11,2.67E+11,2.82E+11,3.05E+11,3.16E+11,3.06E+11,3.03E+11,2.90E+11,2.58E+11,2.81E+11,3.06E+11,3.34E+11,3.60E+11,3.93E+11,4.09E+11,3.85E+11,4.24E+11,4.49E+11,4.44E+11,4.55E+11,4.44E+11,4.55E+11,4.45E+11
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11123101342,11456794381,11479707970
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623365638.8,628440528.6,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,534555066.1,542167400.9,548088105.7,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,322611853.4,336753935,363962785.3,393667372.6,408685455.5,408342123.6,430245634.5,473980107.9,510210154.4,568852832.9,606547130.5,638168061.4,671686422.7,691915238.5,706977355.3,715166459.7,752927760,803194686.7,768179462.6,818916318.7,863720310.9,904585628.4,938126710.3,995208296.2,943495617.5,953758205.2,1012037977,1070851866,1138179361,1283922782,1403194258,1403863251,1234900517,1147942222,1127700867,1170976047,1168633021,1222422784,1272872137,1328568931
