,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,Region,IncomeGroup,SpecialNotes,TableName
0,Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703910.61453,,,,,,,,,Latin America & Caribbean,High income,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,Aruba
1,Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233121.55065,8689883606.077759,8781610175.40574,9762978844.07633,10305228125.1392,11721187594.2052,12144482858.18,14697331940.6464,15936800636.2487,16911126453.2276,19352203805.6294,19731337260.6378,19990317160.6756,20212720937.3679,20663923801.4303,,,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
2,Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745.3027,28072847844.34,30290602825.0746,31986876577.4349,32114824089.7994,32018479611.528,31634257859.5578,29451494066.6941,22176975036.2843,22953169160.1838,25340298757.1282,28178412209.4545,30404506776.7536,32473461135.5772,33525536222.4799,34535350910.2526,35993076035.6583,33494990431.6857,35252638225.9501,39087976314.0264,46226007691.4898,55811028114.6479,68420444001.4995,77874196512.1845,79753199398.1396,82470913120.7314,85702615836.4404,90120963241.2186,96261432368.2645,100886286610.95801,103919917621.964,103919917621.964,,,Sub-Saharan Africa,Lower middle income,,Angola
3,Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066396.4743395,5754747683.96461,5924431990.11235,5989893305.9670105,5914924002.328521,6020247739.301121,6359623744.298739,6309519915.742821,6219922230.91034,6831747927.07938,6177564328.29592,4349684961.20066,4036507644.59602,4424012380.31003,4791205406.9833,5428435725.74621,5922423377.20799,5280559675.53138,5756277509.98431,6533442516.57839,6969002334.66681,7522364217.02382,7840663356.339941,8293343315.1224,8766856445.417309,9268392517.6528,9771760095.9434,10348293941.5853,11127520474.2981,11500292411.1744,11926953258.916,12231090567.6672,12404772053.5014,12542465022.373001,12768229392.5364,13098926534.4647,13552149391.8197,,,Europe & Central Asia,Upper middle income,,Albania
4,Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022932332.66155,1070493217.1332699,1157735668.39256,1247905531.22206,1318022719.04584,1325169112.8123,1368949878.34546,1407808555.10435,1428404796.78457,1428998401.75321,1460561083.9553301,1458626212.79457,1476807421.32729,1502948659.99802,1529771584.74417,1565284207.62961,1616207939.64882,1705860968.59107,1792763090.9047198,1879300379.21772,1950364010.52932,2000020334.24944,2018604762.32349,1997783176.95569,2045394099.72153,2101795825.3990397,2199523869.73738,2398969484.1862397,2475611528.47243,2577088846.2255397,2607132215.0177603,2765301206.37186,2943022832.5185,3296889535.81886,3562932178.3727603,3842255532.5517297,4018434882.50965,4021570844.0933795,3675946750.20161,3535599617.02825,3346516556.29139,3185794241.02485,3129723933.3638897,3127736110.72066,,,,,,Europe & Central Asia,High income,WB-3 code changed from ADO to AND to align with ISO code.,Andorra
6,United Arab Emirates,ARE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56806673989.3106,66195031474.8618,80386802823.7776,79108971553.2077,95661395026.1729,118500337748.22198,124021477838.328,115688082601.639,110197733636.504,114624322914.895,110504178533.654,93974812613.2439,97153023591.92699,94608675557.3476,106281391105.263,125760629069.095,126842273533.173,131085077657.91199,132738310797.024,141892141885.806,151381727246.78302,160159451452.521,173277149005.664,173783108479.99402,178826665575.327,198234194627.698,201007659564.751,205899094153.0,224019327975.827,245449995053.733,257366938877.46103,282684947643.94,291686739340.61,300996902483.404,285215869947.00104,289880430197.25,308313695434.44,324052121215.36,342814434666.521,354075635621.47296,367632720967.18604,378795740748.605,,,Middle East & North Africa,High income,,United Arab Emirates
7,Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115573868508.15,121847036500.547,120808873523.83699,114396100733.294,125984766250.65,139300642138.499,138381639345.114,142798776600.374,149685248718.023,164174071297.927,169174227931.948,178746327507.29602,181657062226.624,186764812014.466,197100011389.72302,197044011131.933,193067167388.744,206454730042.60602,197151622246.26898,217305966255.665,226327993530.555,213450998966.355,202869851896.91898,210731309048.029,215392208305.70602,199051096781.772,214727922914.33,220976490720.555,215326332052.41602,199185061978.08603,194406693571.09,219037458045.20602,245192227489.582,259675534967.54898,274830720366.62302,267011210297.95102,281768091694.844,304622433397.25104,316350941905.026,305641016669.195,303229512290.352,289860609223.18396,258281789127.305,281106256200.528,306488951656.956,333618311350.415,360465082297.96,392934518437.813,408876787794.80896,384677312577.801,423627422092.49,449061807872.401,444452545623.356,455143068397.581,443707073929.401,455453204462.872,444986088267.238,,,Latin America & Caribbean,Upper middle income,"National Institute of Statistics and Census revised national accounts from 2004-2015. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, is classified as upper middle income for FY17 as of September 29, 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period.",Argentina
8,Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857589.67955,5613988348.215071,3267341064.35725,2979815090.15052,3140725188.15958,3357435176.11712,3554362204.0576296,3672405405.53258,3940491000.1364603,4070527203.14096,4310688308.12627,4722645335.723821,5345387542.756,6095922452.58145,6734033975.06956,7667755681.51717,8679746345.92191,9873142200.518791,10554389012.5207,9060944166.21842,9260284937.797821,9695518329.74638,10393595649.8063,10736584306.437,11123101341.571999,11456794381.4697,11479707970.0305,,,Europe & Central Asia,Lower middle income,,Armenia
9,American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623365638.76652,628440528.634361,631823788.546256,629286343.612335,603066079.295154,614907488.986784,598837004.4052861,573462555.066079,576000000.0,577691629.9559469,552317180.61674,534555066.07929504,542167400.881057,548088105.726872,,,,East Asia & Pacific,Upper middle income,,American Samoa
10,Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,322611853.416227,336753934.95391697,363962785.331124,393667372.623362,408685455.54203904,408342123.58868396,430245634.473554,473980107.91708493,510210154.355568,568852832.904835,606547130.529633,638168061.3729941,671686422.712671,691915238.4644071,706977355.278741,715166459.698966,752927760.027776,803194686.723159,768179462.627828,818916318.726581,863720310.934644,904585628.440106,938126710.2766961,995208296.1773949,943495617.498102,953758205.2267901,1012037976.60405,1070851865.89235,1138179361.2699,1283922782.22347,1403194258.38824,1403863250.79735,1234900516.6294801,1147942222.22222,1127700866.74268,1170976046.7895901,1168633021.41119,1222422783.91485,1272872136.7493901,1328568931.12511,,,Latin America & Caribbean,High income,,Antigua and Barbuda
