ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
AFG,NGDP_R,Afghanistan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2015. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,182.842,198.736,200.069,223.737,235.731,267.177,277.498,334.621,362.857,386.368,440.336,465.358,477.909,484.17,495.629,508.02,523.26,541.575,563.396,588.749,618.187,2015
ALB,NGDP_R,Albania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2016. 2016 data is prelimitary. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2017",311.514,329.27,338.819,342.546,349.397,344.156,363.428,360.521,355.474,390.31,351.279,252.921,234.711,257.243,281.424,306.47,334.359,297.833,324.13,365.912,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.34,700.123,707.138,719.687,735.736,760.503,788.659,817.92,848.772,881.717,916.114,952.318,2016
DZA,NGDP_R,Algeria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 08/2017",2596.37,2674.26,2845.41,2999.06,3167.01,3344.36,3337.68,3314.31,3251.34,3407.4,3434.66,3393.45,3447.74,3375.25,3344.88,3473.58,3605.57,3645.24,3831.05,3953.65,4103.88,4227,4463.71,4785.1,4990.86,5285.32,5374.35,5555.62,5686.74,5779.56,5988.56,6157.62,6366.42,6544.68,6793.38,7044.73,7277.21,7383.22,7439.53,7547.06,7683.57,7860.28,8052.82,2016
AGO,NGDP_R,Angola,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of Planning Latest actual data: 2015 National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 08/2017,338.377,323.488,323.488,337.075,357.299,369.805,380.529,396.065,420.339,420.514,406.006,410.031,386.092,293.494,297.425,342.039,388.366,416.617,436.161,445.676,459.289,478.607,544.012,572.559,634.851,750.784,906.46,1111.26,1264.8,1295.32,1339.46,1391.95,1463.71,1563.44,1638.55,1687.83,1676.6,1701.34,1727.76,1751.92,1778.46,1802.65,1828.47,2015
ATG,NGDP_R,Antigua and Barbuda,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2016. Preliminary National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017",0.951,0.988,0.987,1.04,1.145,1.233,1.375,1.466,1.542,1.623,1.672,1.708,1.728,1.819,1.941,1.856,1.979,2.087,2.186,2.267,2.419,2.298,2.322,2.463,2.604,2.771,3.124,3.413,3.412,2.999,2.783,2.725,2.82,2.818,2.962,3.082,3.247,3.334,3.434,3.52,3.59,3.662,3.735,2016
ARG,NGDP_R,Argentina,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 08/2017,357.366,336.84,326.234,338.414,345.183,321.189,344.14,352.842,345.938,321.698,317.395,350.716,386.837,411.018,435.006,422.63,445.987,482.161,500.725,483.773,479.956,458.796,408.812,444.939,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,720.898,704.711,722.077,740.189,759.815,783.663,808.469,834.489,2016
ARM,NGDP_R,Armenia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1005.09,863.837,910.484,983.622,1034.47,1069.51,1136.58,1172.61,1241.24,1358.76,1559.95,1779.16,1965.49,2242.88,2538.9,2887.97,3088.62,2651.58,2709.92,2837.27,3039.69,3140,3253.22,3359.08,3365.43,3484.79,3585.84,3693.42,3807.92,3937.38,4094.88,2016
AUS,NGDP_R,Australia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2016. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014/15. The base period is 2014Q3-2015Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 08/2017",548.289,570.918,571.276,568.57,604.652,637.644,653.255,685.216,714.36,747.35,758.457,750.601,770.581,801.029,840.389,864.892,902.238,941.127,984.889,1027.18,1060.11,1086.09,1130.1,1163.59,1210.94,1249.36,1283.15,1340.43,1375.59,1399.46,1431.79,1469.88,1523.09,1555.49,1598.85,1637.45,1678.77,1715.89,1766.03,1818.14,1869.13,1920.54,1971.61,2016
AUT,NGDP_R,Austria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2017",160.187,160.027,163.08,167.654,168.21,171.983,176.009,178.966,180.686,187.709,195.866,202.607,206.849,207.939,212.934,218.615,223.858,228.794,236.939,245.445,253.713,257.139,261.397,263.374,270.5,276.29,285.548,295.89,300.468,289.053,294.628,302.901,305.16,305.539,307.509,310.47,315.068,322.282,328.244,333.168,338.166,342.968,347.803,2016
AZE,NGDP_R,Azerbaijan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2016 Notes: Data prior to 2005 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 09/2017",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.466,5.742,4.612,4.011,4.113,4.478,4.747,5.288,5.618,5.982,6.469,7.147,7.875,9.955,13.389,16.736,18.544,20.268,21.273,20.93,21.383,22.624,23.225,23.375,22.651,22.415,22.704,23.378,23.988,24.699,25.466,2016
BHS,NGDP_R,The Bahamas,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2017,4.258,4.134,4.395,4.694,4.806,5.003,5.133,5.323,5.443,5.569,5.627,5.392,5.186,5.202,5.365,5.6,5.837,6.126,6.414,6.873,7.158,7.346,7.545,7.449,7.515,7.77,7.966,8.081,7.893,7.563,7.68,7.727,7.965,7.966,7.924,7.793,7.773,7.913,8.111,8.289,8.422,8.548,8.676,2015
BHR,NGDP_R,Bahrain,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 08/2017,2.772,2.849,3.031,3.243,3.379,3.348,3.364,3.323,3.52,3.556,3.681,3.765,4.033,4.34,4.479,4.565,4.714,4.824,5.058,5.36,5.736,5.879,6.076,6.459,6.91,7.377,7.854,8.506,9.037,9.266,9.668,9.86,10.228,10.782,11.251,11.573,11.917,12.212,12.425,12.638,12.907,13.193,13.488,2016
BGD,NGDP_R,Bangladesh,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Bangladesh Bureau of Statistics Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report July/June, we report Jan/Dec. Base year: 2005 Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2017",1499.68,1545.81,1595.37,1668.91,1738.63,1803.72,1875.6,1930.58,1976.69,2061.65,2156.54,2247.19,2355.08,2456.91,2567.8,2690.28,2825.15,2975.01,3125.06,3294.47,3478.94,3647.1,3823.8,4044.67,4291.73,4562.2,4874.75,5192.5,5478.89,5770.09,6118.03,6515.33,6923.15,7341.18,7804.7,8336.33,8935.13,9573.64,10243.79,10960.86,11728.12,12549.09,13427.52,2016
