ISO,WEO Subject Code,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
AFG,NGDPD,Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.079,19.454,21.056,22.497,23.906,25.544,27.412,29.612,2015
ALB,NGDPD,Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.905,10.675,12.901,12.093,11.938,12.896,12.323,12.784,13.246,11.338,11.866,13.001,14.12,14.877,15.81,16.742,17.725,2016
DZA,NGDPD,Algeria,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.016,209.755,213.81,165.874,159.046,175.493,179.872,185.396,191.746,199.642,207.289,2016
AGO,NGDPD,Angola,5.934,5.554,5.554,5.788,6.135,7.559,7.077,8.089,8.775,10.208,11.236,10.891,8.398,6.095,4.438,5.539,6.535,7.675,6.506,6.153,9.13,8.936,12.497,14.189,19.641,28.234,41.789,60.449,84.178,75.492,82.471,104.116,115.342,124.912,126.777,102.962,95.335,124.034,138.238,140.281,145.161,150.379,154.462,2015
ATG,NGDPD,Antigua and Barbuda,0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.83,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.152,1.142,1.211,1.193,1.28,1.365,1.46,1.535,1.6,1.673,1.741,1.811,1.885,2016
ARG,NGDPD,Argentina,226.569,184.014,91.376,112.721,126.563,95.593,114.949,117.854,138.044,88.567,153.205,205.515,247.987,256.365,279.15,280.08,295.12,317.549,324.242,307.673,308.491,291.738,108.731,138.151,164.922,199.273,232.892,287.92,363.545,334.633,424.728,527.644,579.666,611.471,563.614,631.621,544.735,619.872,639.224,712.039,765.096,816.178,869.926,2016
ARM,NGDPD,Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.565,11.037,11.524,12.103,12.71,13.401,14.241,2016
AUS,NGDPD,Australia,163.082,188.592,187.23,179.651,197.326,174.553,181.653,213.306,271.393,308.276,323.929,324.594,318.139,309.64,353.223,379.781,425.588,426.662,381.104,411.822,399.276,376.928,424.522,540.421,657.431,734.846,781.947,949.146,1057.11,997.159,1249.65,1504.23,1561.18,1509.71,1449.52,1229.94,1261.65,1390.15,1482.28,1564.29,1631.44,1708.36,1786.26,2016
AUT,NGDPD,Austria,80.743,69.965,69.954,70.874,66.857,68.47,97.157,121.499,133.293,132.965,166.493,174.045,195.069,189.958,203.514,240.747,236.828,212.61,217.994,217.01,196.998,197.123,213.725,261.22,300.264,315.188,334.603,386.995,429.638,398.602,390.94,429.431,407.677,428.382,439.073,377.157,386.587,409.316,442.416,459.826,476.754,491.702,506.258,2016
AZE,NGDPD,Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.193,1.309,2.258,2.417,3.177,3.963,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.273,21.027,33.09,46.378,44.289,52.913,64.819,68.7,73.557,75.194,50.818,37.556,39.207,42.813,46.201,49.809,53.715,58.182,2016
BHS,NGDPD,The Bahamas,2.035,2.109,2.374,2.643,2.822,3.074,3.323,3.658,3.804,4.288,4.088,4.018,4.015,3.993,4.208,4.429,4.661,4.961,5.354,6.02,6.328,6.517,6.958,6.949,7.094,7.706,7.966,8.319,8.247,7.82,7.91,7.89,8.399,8.522,8.618,8.854,8.717,9.127,9.515,9.915,10.267,10.613,10.935,2015
BHR,NGDPD,Bahrain,3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.965,5.209,5.442,5.986,6.411,6.787,7.057,7.318,6.996,7.582,9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.126,31.858,33.873,35.367,36.638,38.019,39.472,40.958,2016
BGD,NGDPD,Bangladesh,22.632,22.057,20.197,21.165,24.064,24.756,25.954,28.633,30.904,34.046,35.383,36.468,36.476,38.234,41.538,45.921,48.168,50.34,51.928,53.984,54.586,54.755,57.5,63.204,68.593,70.921,75.77,85.604,97.062,108.896,122.039,131.079,141.705,161.297,183.966,206.695,228.388,250.023,273.618,298.943,326.39,356.218,388.769,2016
BRB,NGDPD,Barbados,1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.275,2.425,2.564,2.891,3.029,3.122,3.117,3.17,3.275,3.514,3.897,4.303,4.546,4.595,4.601,4.447,4.359,4.332,4.371,4.353,4.424,4.552,4.821,5.126,5.297,5.499,5.735,5.984,2015
