country_name_wb,country_name,iso_full_name,iso,numeric,,,
Afghanistan,Afghanistan,Afghanistan,AFG,4,,,
,Åland Islands,Åland Islands,ALA,248,,,
Albania,Albania,Albania,ALB,8,,,
Algeria,Algeria,Algeria,DZA,12,,,
,American Samoa,American Samoa,ASM,16,,,
Andorra,Andorra,Andorra,AND,20,,,
Angola,Angola,Angola,AGO,24,,,
Anguilla,Anguilla,Anguilla,AIA,660,,,
,Antarctica,Antarctica,ATA,10,,,
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,ATG,28,,,
Argentina,Argentina,Argentina,ARG,32,,,
Armenia,Armenia,Armenia,ARM,51,,,
Aruba,Aruba,Aruba,ABW,533,,,
Australia,Australia,Australia,AUS,36,,,
Austria,Austria,Austria,AUT,40,,,
Azerbaijan,Azerbaijan,Azerbaijan,AZE,31,,,
Bahamas,"Bahamas, The",Bahamas,BHS,44,,,
Bahrain,Bahrain,Bahrain,BHR,48,,,
Bangladesh,Bangladesh,Bangladesh,BGD,50,,,
Barbados,Barbados,Barbados,BRB,52,,,
Belarus,Belarus,Belarus,BLR,112,,,
Belgium,Belgium,Belgium,BEL,56,,,
Belize,Belize,Belize,BLZ,84,,,
Benin,Benin,Benin,BEN,204,,,
Bermuda,Bermuda,Bermuda,BMU,60,,,
Bhutan,Bhutan,Bhutan,BTN,64,,,
Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of),BOL,68,,,
,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",BES,535,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,70,,,
Botswana,Botswana,Botswana,BWA,72,,,
,Bouvet Island,Bouvet Island,BVT,74,,,
Brazil,Brazil,Brazil,BRA,76,,,
,British Indian Ocean Territory,British Indian Ocean Territory,IOT,86,,,
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,BRN,96,,,
Bulgaria,Bulgaria,Bulgaria,BGR,100,,,
Burkina Faso,Burkina Faso,Burkina Faso,BFA,854,,,
