iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,,,,,,,,,,,,,,,,,,,,,,3671232222.3658104,,,,,
AFG,,,,,,,,,,,,,23378628008.9566,25352757518.2174,25620370017.4831,28483515603.8497,30065529260.2352,34196594611.8752,35431559620.9183,42879503310.6483,46495656381.9102,49338254430.557,56460103813.5996,57566226632.6841,58321801149.6039,58970664733.6535,60287050236.9184
AGO,53485330048.9459,52843506093.9848,49197304172.5742,37045570048.7365,38342164996.4825,42329750163.2751,47070682167.4097,50789266063.2324,54245354799.5022,56002795625.6121,57689642487.7707,60124702190.7584,55951770351.3937,58887836445.9306,65294584235.9224,77218322300.7962,93229637862.261,114293060567.375,130085099395.25801,133223883333.08301,137763693380.12302,143162097316.44,150542734126.265,160800092436.219,168525688985.459,173593223666.64902,173593223666.64902
ALB,14978051139.5978,10546195932.204,9786869826.54442,10726409334.3364,11616701306.9225,13161722579.8561,14359439335.6386,12803184015.993,13956603984.4128,15840909285.6711,16896962591.3081,18238637421.7398,19010381839.6052,20107944440.687,21256018908.8625,22472037478.4932,23692496696.5572,25090354001.6085,26979657655.2903,27883476189.1365,28917953154.0248,29655360961.0256,30076467086.1225,30410315868.5425,30957701553.5959,31759506025.4383,32858384932.1302
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,206603487965.37302,208380447262.34,215350658348.383,218066641366.98602,233104840882.90198,248694628000.18698,263114947385.733,284665110490.159,285496316511.784,293782029579.23303,325665324253.325,330221659045.75,338257460508.953,368025946387.688,403232915377.065,422810442764.565,464403658051.51,479192082507.052,494487109202.33795,468561536232.084,476224621449.29205,506507365109.089,532362942371.15704,563186256710.495,581686509239.398,603958512328.136,622297469759.722
ARG,353995533061.11206,398845740837.15704,446471012279.608,472843695529.2,500439802615.00604,486201241255.883,513072075795.86,554687591831.298,576044056184.227,556542332126.9921,552151219031.107,527807756978.584,470305820970.42896,511866938234.46295,558086338624.299,607486243380.051,656371581729.116,715495242254.303,744524552076.755,700459679762.513,771384011261.412,817697534663.575,809304519912.4009,828770913988.898,807947089029.563,829335641363.9559,810276048768.545
ARM,13241360919.5518,11692121893.0009,6804814620.36135,6205991015.94511,6541114703.9618,6992451514.3482895,7402586817.78883,7648432625.56006,8206768207.22595,8477591558.064409,8977769459.99019,9835742701.57703,11132713293.7678,12695834751.5139,14024814656.6168,15969454960.225,18077104187.2779,20562561750.2571,21981378511.3708,18871015949.0773,19286178299.7958,20192628679.6198,21646497945.2151,22360832377.7968,23165822343.6125,23860797013.1932,23908518606.7986
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,1092513229.36316,1116295856.14616,1129226204.28474,1188850155.1298401,1268220111.68119,1212932132.13305,1293044092.99577,1363788241.25912,1428313341.32185,1481273694.83993,1571403792.11593,1489751036.91962,1505955352.47419,1597977348.36956,1690842700.28806,1797150778.66354,2027275231.2450302,2215601283.84776,2216657602.62305,1949870556.9186602,1812566040.75621,1780605552.8058,1848935752.9171,1845236186.7270002,1930168594.44499,2009826596.35121,2097770149.70268
AUS,487766758335.591,485936008757.771,488056944073.53296,507881788832.569,528459181938.67,549012715328.539,570692169381.625,593220900361.09,619560737365.533,650580947894.391,675744565374.3729,688786802151.9,715325255172.534,737273614676.114,767838556025.0,792436633744.592,816035827668.467,846634946448.71,877944697858.315,893852680012.323,911782289473.996,933417248380.598,967339961146.0759,992199206029.817,1018090222426.24,1042744402721.84,1071584351072.95
AUT,240050185851.955,248311818791.205,253510288097.96802,254845804337.08603,260967503196.651,267930073568.30103,274355878824.047,280405479836.61,290387822157.043,300812709402.453,310945307913.31604,315144674296.455,320363012962.194,322785458951.728,331519204194.791,338615978101.225,349962428477.397,362636354303.012,368247295481.329,354257304362.33203,361089769540.96796,371229170024.562,373997634205.319,374462227326.591,376876927646.27704,380506472551.616,386140748785.935
AZE,60946791249.6116,60520163735.2054,46842606492.2018,36021964603.9666,28925637570.1393,25512412076.7171,25844073484.6787,27343029882.1875,30077332946.4722,32303055759.462997,35888694707.6342,39441675483.6899,43622492770.0479,48508212063.743,53456049887.4524,67568447489.7946,90879561542.8867,113643982480.43199,125886190467.364,137732903988.90698,144418926509.107,144514131462.76,147693442627.257,156254756508.811,159379851638.987,161133029702.75198,156137905456.404
