,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,United Nations,,,,,,,,,,,,,,,,,,,
,,,Population Division,,,,,,,,,,,,,,,,,,,
,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,,,
,,,"File 0-2: Latest data sources used to derive estimates for total population, fertility, mortality and migration by countries or areas",,,,,,,,,,,,,,,,,,,
,,,in WPP 2017 revision,,,,,,,,,,,,,,,,,,,
,,,POP/DB/WPP/Rev.2017/F0-2,,,,,,,,,,,,,,,,,,,
,,,June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,
,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Country,ISO3,Subregion,,Region,,,,,Latest total population data,,,Latest total fertility data,Latest life expectancy at birth data,Latest infant/child mortality data,Latest international migration data,,,,
Index,Country or area,Notes,code,Alpha-code,Code,Name,Code,Name,"Country or area with a population of less than 90,000 by mid-2017",,,Summary,Source,Reference Date,Summary,Summary,Summary,Summary,,,,
