,Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,iso
7,Afghanistan,Gross Domestic Product (GDP),6929847255,6910741007,5777295216,5944596821,6268756882,6657748956,7021805641,6667723112,7161443821,6976921940,6717593891,6862219149,7001857329,7345965702,7480616805,7500565116,7724983620,6932038239,6358524284,5909687276,5725165395,5099369505,5181698774,3888090899,3022555147,4531855989,4293013317,4072311063,3887479665,3698806736,3495246010,3296867078,5439744323,5887348821,6025242701,6621833827,7228470204,8391842820,8587560227,10066763501,10392535776,11294701243,12529192571,13340574767,13628108853,13299541327,AFG
24,Albania,Gross Domestic Product (GDP),3169870223,3296690924,3429017108,3566791934,3708416555,3858726335,4014229705,4167938747,4347230196,4519384903,4665419716,4933475214,5078946267,5135065488,5070794872,5161087250,5449834751,5406883168,5330071944,5854582876,5270817571,3794875792,3522133790,3858829089,4179222568,4735992449,5167050211,4607052763,5013825539,5660143341,6053313229,6555332149,6852719275,7231580760,7630388041,8052079314,8527360047,9037572907,9715398987,10041280528,10413500431,10678569365,10829909670,10950408522,11171786323,11466646525,ALB
41,Algeria,Gross Domestic Product (GDP),28921920639,26167766515,31990457823,33372818634,34630350876,36648082494,38916131717,42579090654,46911104298,50419035312,50817651720,52342179284,55692080912,58699454966,61986622407,64280125734,64537246881,64085487750,63444629354,66236194415,66766084355,65964890953,67152260508,65742062526,65150386234,67626097516,70398766479,71173152867,74802986232,77196682953,80130156905,82534061612,87155969062,93431198835,97448740385,1.03198E+11,1.04953E+11,1.08521E+11,1.11125E+11,1.12903E+11,1.16968E+11,1.2036E+11,1.24452E+11,1.27937E+11,1.32799E+11,1.37845E+11,DZA
58,Andorra,Gross Domestic Product (GDP),884948519.1,926093966.6,1001568270,1079575068,1140234078,1146416465,1184291674,1217908674,1235726720,1236240120,1263545304,1261871503,1277600248,1300215251,1323420030,1354142378,1398196986,1475756687,1550936518,1625800693,1687278614,1730236738,1746314364,1728301275,1769490070,1818283653,1902829150,2075371494,2141675212,2229464217,2255455022,2358005337,2510592208,2816099141,3031470737,3255708103,3403398519,3404760255,3112291221,2997427335,2836800427,2704987274,2661295827,2670654141,2731483181,2754487828,AND
75,Angola,Gross Domestic Product (GDP),15819156017,16768305378,16801841988,18162791189,18725837716,17789545830,16864489447,16999405363,16098436879,16146732189,16534253762,15806746395,15806746395,16470629969,17458868124,18069928419,18643859399,19948999658,21060732547,21142337515,21048330029,21256994606,20015951585,15215442363,15419232438,17732117304,20133820547,21598410504,22611623673,23104893948,23810661644,24558316419,28126639795,28967583567,32140429192,36970878079,41240195019,47014844990,52264448163,52526046940,55017338888,56927530064,61790363556,64851823018,67505890735,69535765111,AGO
91,Anguilla,Gross Domestic Product (GDP),31165226.08,30386543.06,33892677.98,35309092.68,35237877.55,36443599.33,37008763.69,37078503.48,39840180.23,43629572.17,45754869.79,47457429.37,46926428.47,46964891.58,49054612.51,55362159.41,62420430.29,69059178.82,79804825.56,86589491.83,108672916.7,88932345.3,114459838.2,122959147.9,132803566.1,129721642.4,132973552.5,147185876.9,162358993,168345463.6,170488767.6,174603506.1,167957449.5,177447199.7,202516226,229114814.8,275576172.6,312332348.8,307793928.7,251135487.7,239951010.9,249756727.2,234130774.4,232716108.6,244668957.2,251885906.9,AIA
107,Antigua and Barbuda,Gross Domestic Product (GDP),235416975.6,253018244.9,271719593.4,294821259.3,304855694.5,288131635.9,262328802.8,281442012.5,291373173.6,322762736.6,344398480.1,361423328.1,362842065.2,387669967.8,416576740.6,448853014.2,486626895.1,529011671.8,569091000.4,598981223,617020421,630452162,637754866.6,671428784.7,716254692.3,685029604.9,730274555.9,770228852.5,806670798.8,836581301.7,887484208.1,841369048.1,850520797.6,902492197.1,954939893.8,1014979676,1144947451,1251308649,1251905222,1101231463,1023685784,1005635416,1044226370,1042136959,1090104356,1135092934,ATG
124,Argentina,Gross Domestic Product (GDP),1.05129E+11,1.09084E+11,1.1135E+11,1.1552E+11,1.21765E+11,1.21042E+11,1.21028E+11,1.28757E+11,1.24608E+11,1.33352E+11,1.3529E+11,1.27962E+11,1.23917E+11,1.29012E+11,1.316E+11,1.22446E+11,1.31193E+11,1.34515E+11,1.31889E+11,1.22643E+11,1.21001E+11,1.33701E+11,1.47478E+11,1.56698E+11,1.65844E+11,1.61125E+11,1.7003E+11,1.83821E+11,1.90898E+11,1.84436E+11,1.8298E+11,1.74913E+11,1.55857E+11,1.6963E+11,1.84947E+11,2.01388E+11,2.17786E+11,2.37421E+11,2.47141E+11,2.32279E+11,2.56328E+11,2.72086E+11,2.69221E+11,2.7542E+11,2.68374E+11,2.7474E+11,ARG
141,Armenia,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,4261614613,3763910889,2192237783,1999083367,2105578132,2250677471,2383469330,2462624524,2643386484,2729434851,2890352108,3166574728,3643156374,4154684758,4589590434,5225971850,5915694602,6729055562,7196568584,6178255779,6315109501,6608810610,7082348505,7313073353,7579425368,7807966417,ARM
157,Aruba,Gross Domestic Product (GDP),206154957.2,224891306.8,245330507.2,267627317.7,291950571.8,318484438.3,347429831.1,379005918,413451793.3,451028272.8,492019883,536737008,585518239.1,638732943.2,696784053.6,760111128,829193668.6,962515003.2,1142011045,1280535163,1331262305,1437269025,1521814262,1633023766,1766995449,1811289740,1833841854,1977146173,2108955032,2133302272,2229600860,2163460405,2092320189,2134206484,2303081390,2331005587,2355605474,2403475526,2406799836,2134206484,2062401406,2135536208,2106282287,2194708911,2213325042,2215319628,ABW
