"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","","","","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19243809662.7756","21284923743.126","22101051954.6374","25361507049.8761","27592569518.5013","32219074824.5206","34037462001.3289","41505186409.2602","45555113006.3501","49338254430.557","57500127993.256","59573450332.3275","61435943661.5631","62917672059.5201","65142787697.0312","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34569336016.9061","35291341120.6238","33605213160.2357","25906791101.7047","27384156308.201","30862652597.0763","34945786282.757","38351851582.7467","41406142195.3761","43401794411.2997","45726453705.2664","48742596951.3517","46055962673.4746","49439320643.8649","56325455002.0093","68754610654.4012","85561283210.1864","107683724421.64","124966743631.321","128953968329.478","134976922759.291","143162097316.44","153315808792.932","166406882655.461","177524262453.39","185212114647.683","186327014014.154","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8944702701.9762","6507686403.67068","6176798074.52828","6930841239.02658","7665840864.66301","8866547010.40926","9849995925.55957","8932779829.90764","10039320661.3161","11473531924.5696","12438082812.0008","13659489144.8884","14506563584.7533","15546981649.847","16723600847.1546","17896875997.9187","19854888657.3388","21650332052.1796","24251553045.4572","25831850887.2635","28100794190.7596","29655360961.0256","30530341176.1007","30631554212.4853","32740789976.8726","32981441129.0227","34126380440.9685","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1522217702023.97","1577834402206.47","1694078464837.85","1787777154557.15","1880148918176.35","1971098750910.46","2098375637111.48","2223926135630.4","2373027884658.66","2464786646123.58","2650665570846.48","2760213554373.76","2818976871809","3002087059130.63","3368021581606.14","3671401860429.17","4018428171738.58","4313082917016.97","4656459205151.25","4734268980798.68","5022634283207.33","5276982607964.89","5646455724068.01","5941095154460.07","6222234742200.65","6511833005924.37","6818136799293.65","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133534660654.093","139166115029.071","147099620586.237","152498852532.308","166484584255.997","181323439815.915","195339398027.264","214955539104.766","217922827143.025","227679120407.491","258131611335.594","267707957715.207","278432172513.58","308976417985.92","347843204672.521","376467223120.308","426205376516.083","451481375138.671","475030915074.165","453543824050.82","466591250315.02","506507365091.304","542169341836.04","582823479191.17","612746158444.516","644382487192.799","672419562703.666","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228799009367.14","266367660566.608","304971050545.622","330670113260.973","357416483365.292","354489689716.293","380910288162.906","418854176199.749","439701467329.774","431316608578.626","437650782125.831","427889367078.785","387126040868.739","429738214437.589","481425332916.43","540901160462.916","602383491807.77","674119601920.088","715230331983.68","678009476231.364","755779970405.514","817697534663.575","824212325824.212","857668563139.116","851088115674.234","884844492459.422","876012061487.694","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8558329069.54703","7808540587.87169","4648166189.03595","4339987551.13206","4671695181.65911","5098201644.42749","5495760948.78006","5775463511.32173","6264326458.80065","6570077114.78049","7116035771.37072","7973754958.90504","9163746289.10092","10658796162.5021","12098309164.0948","14219082018.8533","16590220303.9001","19373470462.0354","21116494555.207","18266187204.2737","18896045357.2528","20192628679.6198","22045237581.6534","23140511632.7678","24402781263.9942","25507273616.9077","25884360813.9848","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
